product,total_visits,total_first_visits,avg_time_on_site,total_transactions,total_revenue
Google Sunglasses,19681,8650,1333.4434393739195,11170,2686190590000
Leatherette Journal,5633,2588,1061.5198081364363,2970,970634050000
Windup Android,5982,2707,1186.4531459170012,3257,496983260000
Red Shine 15 oz Mug,6857,3088,1200.201837538282,3736,499910570000
Electronics Accessory Pouch,4567,2334,1436.3624205218168,1736,537528120000
YouTube Custom Decals,7789,4867,834.8332048316624,2727,434358440000
Google Women's Short Sleeve Hero Tee White,5511,2787,1090.262354651163,2647,994570440000
Google Laptop Backpack,8325,4987,729.4046673884277,1339,432552660000
Maze Pen,5361,2142,1440.9708792234462,3000,1074246970000
Google Water Resistant Bluetooth Speaker,3594,1861,1043.594428969359,1111,295361230000
Recycled Mouse Pad,5686,2652,1425.2250967969017,3084,814697530000
YouTube Twill Cap,6027,3956,813.8725311203318,1959,562522020000
Google Men's Short Sleeve Badge Tee Charcoal,2631,1171,2162.191942227289,4832,363962780000
Google Twill Cap,9585,4892,934.8097127937336,3750,798849370000
Google Men's  Zip Hoodie,14935,7794,841.3643800710784,4826,1409949550000
Google Men's 100% Cotton Short Sleeve Hero Tee Red,5170,2141,1331.0359767891682,3468,741696140000
Google Women's Fleece Hoodie,6606,3061,902.3306573765528,2628,1032963210000
YouTube Men's Short Sleeve Hero Tee Black,4743,3203,897.4635845471815,2078,135088880000
Google 22 oz Water Bottle,9847,3572,1448.478821736921,6784,2106130040000
Google Laptop and Cell Phone Stickers,14333,7317,1117.6509144213312,6790,1062345770000
Badge Holder,4593,1960,1352.8190725016339,2919,582573060000
Google Women's Performance Polo Grey/Black,160,37,3603.625,90,614426400000
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,8612,3925,1144.5173296115372,5084,863866290000
Google Rucksack,10918,6389,724.385559831409,1513,377234790000
Google Alpine Style Backpack,13562,8306,708.9187573789849,1494,221280230000
Engraved Ceramic Google Mug,7423,3409,1221.915194822705,4055,547593250000
Google Men's Vintage Badge Tee Black,6783,3285,1213.5217455403224,4352,413541960000
Google Men's 100% Cotton Short Sleeve Hero Tee Black,11837,5640,1479.8713138994513,11384,1768886460000
Google Kick Ball,4549,1846,1378.6621235436348,2587,700545500000
Google Men's 100% Cotton Short Sleeve Hero Tee White,19842,10538,919.303760459724,7914,2451467660000
Waterproof Backpack,13218,7951,714.474716124148,1636,369030800000
Gift Card - $25.00,2346,786,1089.1393861892582,3353,278056570000
26 oz Double Wall Insulated Bottle,10594,5262,942.0695126558364,3840,863667880000
Google Men's Watershed Full Zip Hoodie Grey,6055,3162,899.8065850430178,1557,309378930000
YouTube Leatherette Notebook Combo,5516,3006,916.4984570702491,2083,509753220000
Sport Bag,5364,1963,1352.4433258762126,2786,911971090000
Google Metallic Notebook Set,4917,2158,1320.1879959308237,2813,1022074000000
Keyboard DOT Sticker,9339,5659,832.1902004931917,1884,216532720000
Micro Wireless Earbud,4782,3135,727.8199329983245,498,83362000000
Recycled Paper Journal Set,4590,1445,1551.8498910675378,3854,1078861460000
Android BTTF Cosmos Graphic Tee,1713,1182,3039.212032710281,5534,338031650000
Google Vintage Henley Grey/Black,1696,1007,2857.945690672964,6465,314905030000
BLM Sweatshirt,3284,1452,777.8577953714979,2716,172516840000
