category,date,hits_sum,hits_mean,visits_sum,visits_mean,page_views_sum,page_views_mean,first_visits_sum,first_visits_mean,time_on_site_sum,time_on_site_mean,transactions_sum,medium_affiliate,medium_cpc,medium_cpm,medium_organic,medium_referral,action_Check out,action_Click through of product lists,action_Completed purchase,action_Product detail views
Accessories,2016-08-01,13699,51.30711610486891,267,1.0,9083,34.0187265917603,99,0.3707865168539326,261313,978.7003745318352,62,0,3,3,57,14,0,146,0,121
Accessories,2016-08-02,16859,59.36267605633803,284,1.0,11139,39.221830985915496,121,0.426056338028169,322033,1133.9190140845071,30,0,14,0,102,2,0,151,0,133
Accessories,2016-08-03,19030,55.806451612903224,341,1.0,12231,35.868035190615835,176,0.5161290322580645,348664,1022.475073313783,0,0,15,2,140,6,0,179,0,162
Accessories,2016-08-04,15020,52.33449477351916,287,1.0,10648,37.10104529616725,205,0.7142857142857143,423308,1474.9407665505225,4,8,2,0,93,13,0,152,0,135
Accessories,2016-08-05,19344,58.61818181818182,330,1.0,13735,41.621212121212125,210,0.6363636363636364,419308,1270.6303030303031,85,7,20,0,192,0,0,180,0,150
Accessories,2016-08-06,22724,90.896,250,1.0,15385,61.54,85,0.34,536005,2144.02,28,0,14,0,168,2,0,133,0,117
Accessories,2016-08-07,5382,48.92727272727273,110,1.0,3560,32.36363636363637,46,0.41818181818181815,81566,741.5090909090909,18,0,20,0,49,3,0,57,0,53
Accessories,2016-08-08,14720,50.58419243986254,291,1.0,9729,33.43298969072165,127,0.436426116838488,204603,703.1030927835052,17,3,4,2,134,0,0,159,0,132
Accessories,2016-08-09,14640,45.60747663551402,321,1.0,9762,30.411214953271028,152,0.4735202492211838,331606,1033.0404984423676,65,3,6,3,100,19,0,173,0,148
Accessories,2016-08-10,16118,44.03825136612022,366,1.0,10785,29.4672131147541,172,0.46994535519125685,317847,868.4344262295082,56,4,9,12,92,25,0,198,0,168
