category,product,total_hits,total_visits,total_page_views,total_first_visits,total_time_on_site,avg_time_on_site,total_transactions,total_revenue,avg_revenue
Accessories,8 pc Android Sticker Sheet,7328.0,183.0,4905.5,84.0,186822.0,1138.4027272727274,54.5,12377230000.0,222418587.5
Accessories,Android Sticker Sheet Ultra Removable,6907.0,232.5,4782.5,140.0,210288.5,993.7634045744283,45.5,5401255000.0,96339286.971831
Accessories,Basecamp Explorer Powerbank Flashlight,2791.0,81.0,2039.0,49.0,97267.0,1200.8271604938273,13.0,3518450000.0,270650000.0
Accessories,Bottle Opener Clip,5474.0,134.0,3996.0,66.0,121723.0,908.3805970149255,44.0,3792220000.0,90290952.38095237
Accessories,Crunch Noise Dog Toy,6771.0,166.0,4644.0,70.0,157377.0,948.0542168674698,56.0,2667470000.0,51297500.00000001
Accessories,Google Car Clip Phone Holder,3660.0,123.0,2728.0,57.0,98510.0,800.8943089430894,14.0,668220000.0,47730000.0
Accessories,Google Device Stand,466.0,20.0,346.0,14.0,18840.0,942.0,4.0,78280000.0,19570000.0
Accessories,Google Doodle Decal,30645.0,942.0,21315.0,561.0,792294.0,841.0764331210189,223.0,29655980000.0,147542189.0547264
Accessories,Google Kick Ball,7238.0,182.66666666666666,4958.666666666667,87.0,185970.33333333334,1367.8557130004494,50.333333333333336,12443353333.333334,232113888.88888887
Accessories,Google Laptop and Cell Phone Stickers,16941.0,516.0,11582.5,319.0,424793.0,628.9990291262136,118.5,29794810000.0,202057446.35193133
Accessories,Google Sunglasses,68049.0,1893.0,47877.0,1090.0,1817746.0,961.2617662612374,398.0,57004910000.0,148064701.29870135
Accessories,Keyboard DOT Sticker,9343.5,324.0,6628.5,212.5,246726.5,549.1177847113884,53.5,6629395000.0,63137095.238095224
Accessories,Plastic Sliding Flashlight,150.0,7.0,89.0,2.0,5088.0,726.8571428571428,0.0,0.0,0.0
Accessories,Recycled Mouse Pad,578.0,22.0,377.0,11.0,14707.0,668.5,5.0,121260000.0,24252000.0
Accessories,Rocket Flashlight,460.0,15.0,332.0,5.0,17725.0,1181.6666666666665,0.0,0.0,0.0
Accessories,Windup Android,11067.5,347.0,7706.0,167.0,340103.5,1012.6847284565679,77.0,11090740000.0,165765986.25886527
Accessories,YouTube Custom Decals,5078.0,159.5,3448.0,93.0,145702.5,648.1829073482428,43.5,4380495000.0,50350517.24137931
Accessories,YouTube Luggage Tag,508.0,12.0,288.0,4.0,13322.0,1110.1666666666667,0.0,0.0,0.0
Electronics,Basecamp Explorer Powerbank Flashlight,6685.0,197.0,4896.0,127.0,175047.0,992.1085086178547,60.0,10887020000.0,132390332.25574714
Electronics,Google Car Clip Phone Holder,5500.666666666667,137.0,3986.0,83.0,163961.0,1147.8682646718362,63.0,6188203333.333333,389723572.4797645
Electronics,Google Device Stand,5463.666666666667,124.33333333333333,3885.3333333333335,55.0,165669.33333333334,1293.2829125500239,80.0,7008796666.666667,190079460.05724692
Electronics,Google Pocket Bluetooth Speaker,4123.0,114.5,2996.5,68.5,103223.5,906.0233124277934,67.5,32577480000.0,438766104.1666667
Electronics,Google Power Bank,10912.666666666666,308.3333333333333,7731.0,183.66666666666666,293137.0,1060.508776261963,64.33333333333333,19179830000.0,598882224.9433107
Electronics,Google Tube Power Bank,10056.333333333334,232.0,7047.666666666667,106.33333333333333,247613.66666666666,1145.1935090864488,72.33333333333333,10085033333.333334,157692079.92974317
Electronics,Google Water Resistant Bluetooth Speaker,8558.666666666666,231.66666666666666,6149.333333333333,134.0,224827.66666666666,996.9850856809481,89.0,26936436666.666668,243892272.66318393
Electronics,Keyboard DOT Sticker,13448.0,533.0,9758.0,359.0,339475.0,639.312617702448,24.0,2061270000.0,85886250.0
Electronics,Plastic Sliding Flashlight,7292.333333333333,141.66666666666666,5126.666666666667,77.33333333333333,195192.0,1369.459658365262,58.666666666666664,7924936666.666667,143061709.2756473
